                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1649,                 2.0499,                 1.5231,                 0.8309,                0.46992,                0.51454,                0.21431,                 1.7927,                 3.0726,                 2.3786,             0.00046767,             0.00046767,             0.00046767
                      2,                 1.1906,                 1.5968,                 1.4787,                0.51621,                0.52222,                0.37157,                0.11685,                 2.1585,                 4.2008,                 2.8448,             0.00090662,             0.00090662,             0.00090662
                      3,                 1.2194,                 1.5737,                 1.5078,                0.54094,                0.41914,                0.38448,                0.13645,                 2.2391,                 2.6063,                 2.8287,              0.0013078,              0.0013078,              0.0013078
                      4,                 1.1983,                  1.581,                 1.4937,                0.24756,                0.52466,                0.27226,                0.12433,                 2.1945,                 3.1833,                 2.4595,              0.0012592,              0.0012592,              0.0012592
                      5,                 1.1752,                 1.4462,                 1.4629,                0.51037,                0.46667,                0.43925,                0.18937,                 1.9745,                 2.0548,                    2.3,              0.0012592,              0.0012592,              0.0012592
                      6,                 1.1393,                 1.3557,                 1.4401,                0.58394,                0.41667,                0.37651,                0.21736,                 2.3261,                 2.5619,                 2.6746,              0.0012026,              0.0012026,              0.0012026
                      7,                 1.0886,                 1.3463,                 1.4044,                0.45558,                0.67503,                0.63782,                0.28781,                 1.7042,                 1.7144,                 1.9668,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.0643,                 1.2833,                 1.3867,                0.79005,                0.52778,                0.64167,                0.29849,                 1.9438,                 1.5893,                 2.2181,              0.0010895,              0.0010895,              0.0010895
                      9,                 1.0782,                 1.2517,                 1.4104,                0.76732,                0.54999,                0.59839,                0.29943,                  1.857,                 1.5626,                 2.1197,              0.0010329,              0.0010329,              0.0010329
                     10,                 1.0475,                 1.1991,                 1.3819,                0.58497,                0.46667,                0.55651,                0.25653,                 2.0743,                 2.1911,                 2.3634,             0.00097629,             0.00097629,             0.00097629
                     11,                 1.0114,                 1.1649,                 1.3571,                0.66144,                0.67581,                0.72991,                0.38899,                 1.7132,                 1.4859,                 1.9499,              0.0009197,              0.0009197,              0.0009197
                     12,                0.93163,                  1.125,                 1.3157,                0.66001,                0.70533,                0.69836,                 0.3749,                 1.7451,                  1.258,                 1.8365,             0.00086312,             0.00086312,             0.00086312
                     13,                0.97615,                 1.1167,                 1.3422,                0.80928,                0.55556,                0.74156,                 0.3828,                 1.7995,                 1.1923,                 2.0106,             0.00080653,             0.00080653,             0.00080653
                     14,                0.96257,                 1.0526,                 1.3382,                0.69435,                0.70556,                0.65114,                0.34505,                 1.6374,                 1.2986,                 1.8891,             0.00074994,             0.00074994,             0.00074994
                     15,                0.91599,                 1.0132,                 1.3111,                0.67568,                0.74721,                0.72965,                0.37834,                 1.6396,                 1.4327,                 1.9285,             0.00069335,             0.00069335,             0.00069335
                     16,                 1.0278,                 1.0024,                 1.4621,                0.73286,                0.65556,                0.71422,                0.32153,                 1.7248,                 1.3956,                 1.9221,             0.00063676,             0.00063676,             0.00063676
                     17,                 1.0146,                0.91477,                 1.4493,                0.81224,                0.83868,                0.82299,                0.38571,                 1.7235,                 1.1023,                 1.8982,             0.00058017,             0.00058017,             0.00058017
                     18,                 1.0147,                0.88784,                 1.4458,                0.69912,                0.75656,                0.72983,                0.35119,                 1.6883,                 1.3433,                  1.935,             0.00052359,             0.00052359,             0.00052359
                     19,                0.99043,                0.82147,                  1.444,                0.62616,                0.72522,                0.73602,                0.36078,                 1.5958,                 1.2456,                 1.7745,               0.000467,               0.000467,               0.000467
                     20,                0.95919,                0.77079,                 1.4018,                0.84323,                0.74527,                0.81203,                0.42032,                 1.6592,                 1.0417,                 1.8131,             0.00041041,             0.00041041,             0.00041041
                     21,                0.95382,                0.77169,                 1.3794,                0.70974,                0.69928,                0.69697,                0.37901,                 1.6448,                 1.2045,                 1.8261,             0.00035382,             0.00035382,             0.00035382
                     22,                0.91947,                0.72096,                 1.3704,                0.86539,                 0.7329,                0.85209,                0.45989,                 1.5895,                0.93635,                 1.7579,             0.00029723,             0.00029723,             0.00029723
                     23,                0.90521,                0.68581,                 1.3508,                 0.7893,                0.88227,                0.84166,                0.44958,                 1.6149,                0.93158,                 1.7699,             0.00024064,             0.00024064,             0.00024064
                     24,                0.86565,                0.63963,                 1.3228,                0.85947,                   0.85,                0.88828,                0.45255,                 1.6211,                0.93159,                 1.7802,             0.00018406,             0.00018406,             0.00018406
                     25,                0.85624,                0.63375,                 1.3198,                0.88649,                0.86667,                0.86887,                0.45909,                  1.596,                0.99075,                 1.7476,             0.00012747,             0.00012747,             0.00012747
